ann, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 335.716488
gmdhg, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.054861
gmdhg, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 447.715561
lstm_seq, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.050648
lstm_seq, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 362.357642
lstm, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.061451
lstm, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 416.352481
reg, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.052067
reg, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 573.847379
tgate, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.072469
tgate, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1350.516774
tgate, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:11, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.073871
tgate, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:11, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 838.454890
trans, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.053802
trans, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 574.300270

cnnc, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.040248
cnnc, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1124.425934
kgate, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.035423
kgate, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 994.370581
relu, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.036106
relu, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 956.605435
ann, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.041064
ann, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1253.798725
rbfg, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.102038
rbfg, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 7435.770806
lstm, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.050627
lstm, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1239.184641
lstm_seq, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.041706
lstm_seq, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1204.814969
gmdhg1, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.050012
gmdhg1, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1510.125924
gmdhg, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.052782
gmdhg, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1536.109520
sig, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.049918
sig, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1490.568745
tanh, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.047849
tanh, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1358.727795
reg, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.042025
reg, trainN dj0704_, dataFN dj_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 1233.787018

ann, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.056463
ann, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1240.572993
relu, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.053641
relu, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1125.556006
kgate, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.055784
kgate, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1146.092478
cnnc, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.052896
cnnc, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1112.338981
sig, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.089004
sig, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 3223.991733
tanh, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.079469
tanh, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 2574.609780
gmdhg1, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.105855
gmdhg1, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 4070.919012
